time,x,y,roll,pitch,thrust,yaw
1.9495518207550049,160,66,1500.0,1500,1383.5,1500.0
1.9725439548492432,160,67,1500.0,1500,1383.25,1500.0
1.995581865310669,160,67,1500.0,1500,1383.25,1500.0
2.01857590675354,160,67,1500.0,1500,1383.25,1500.0
2.0416598320007324,159,67,1499.9000000000001,1500,1383.25,1499.0
2.064797878265381,160,67,1500.0,1500,1383.25,1500.0
2.0878639221191406,162,67,1500.2,1500,1383.25,1502.0
2.110715866088867,162,66,1500.2,1500,1383.5,1502.0
2.1338768005371094,161,66,1500.0999999999999,1500,1383.5,1501.0
2.156810998916626,161,66,1500.0999999999999,1500,1383.5,1501.0
2.1798818111419678,161,66,1500.0999999999999,1500,1383.5,1501.0
2.202788829803467,160,67,1500.0,1500,1383.25,1500.0
2.2258667945861816,161,67,1500.0999999999999,1500,1383.25,1501.0
2.2488458156585693,160,67,1500.0,1500,1383.25,1500.0
2.2717819213867188,160,67,1500.0,1500,1383.25,1500.0
2.2946817874908447,160,67,1500.0,1500,1383.25,1500.0
2.317605972290039,159,67,1499.9000000000001,1500,1383.25,1499.0
2.3406028747558594,160,67,1500.0,1500,1383.25,1500.0
2.363694906234741,160,67,1500.0,1500,1383.25,1500.0
2.3867199420928955,158,66,1499.8,1500,1383.5,1498.0
2.409775972366333,159,65,1499.9000000000001,1500,1383.75,1499.0
2.43263578414917,159,65,1499.9000000000001,1500,1383.75,1499.0
2.455591917037964,157,65,1499.7,1500,1383.75,1497.0
2.4786479473114014,158,65,1499.8,1500,1383.75,1498.0
2.5016868114471436,158,65,1499.8,1500,1383.75,1498.0
2.524742841720581,158,65,1499.8,1500,1383.75,1498.0
2.547794818878174,158,64,1499.8,1500,1384.0,1498.0
2.570645809173584,158,63,1499.8,1500,1384.25,1498.0
2.5938069820404053,159,64,1499.9000000000001,1500,1384.0,1499.0
2.616719961166382,159,64,1499.9000000000001,1500,1384.0,1499.0
2.6396238803863525,159,64,1499.9000000000001,1500,1384.0,1499.0
2.6624889373779297,158,64,1499.8,1500,1384.0,1498.0
2.6854658126831055,159,64,1499.9000000000001,1500,1384.0,1499.0
2.708606004714966,158,64,1499.8,1500,1384.0,1498.0
2.7316319942474365,159,64,1499.9000000000001,1500,1384.0,1499.0
2.7548627853393555,159,64,1499.9000000000001,1500,1384.0,1499.0
2.7778539657592773,158,63,1499.8,1500,1384.25,1498.0
2.800693988800049,157,63,1499.7,1500,1384.25,1497.0
2.8238439559936523,157,64,1499.7,1500,1384.0,1497.0
2.8468058109283447,156,64,1499.5999999999999,1500,1384.0,1496.0
2.869821786880493,158,64,1499.8,1500,1384.0,1498.0
2.892771005630493,158,64,1499.8,1500,1384.0,1498.0
2.9158380031585693,158,65,1499.8,1500,1383.75,1498.0
2.9388067722320557,155,64,1499.5,1500,1384.0,1495.0
2.961817979812622,156,65,1499.5999999999999,1500,1383.75,1496.0
2.9846808910369873,155,65,1499.5,1500,1383.75,1495.0
3.0077297687530518,156,65,1499.5999999999999,1500,1383.75,1496.0
3.030627965927124,158,65,1499.8,1500,1383.75,1498.0
3.053931951522827,157,64,1499.7,1500,1384.0,1497.0
3.0769989490509033,157,64,1499.7,1500,1384.0,1497.0
3.0999698638916016,157,64,1499.7,1500,1384.0,1497.0
3.122943878173828,158,64,1499.8,1500,1384.0,1498.0
3.1462509632110596,158,64,1499.8,1500,1384.0,1498.0
