time,x,y,size_inv,roll,pitch,thrust,yaw
0.0007419586181640625,160,35.0,2012.5826415054094,1500.0,1512.2661218867743,1350,1500.0
0.023321866989135742,159,35.0,2012.5826415054094,1499.77,1512.2661218867743,1350,1500.0
0.045990943908691406,160,35.0,2012.5826415054094,1499.97,1512.2661218867743,1350,1500.0
0.06858587265014648,160,35.0,2012.5826415054094,1499.97,1512.2661218867743,1350,1500.0
0.09089088439941406,160,35.0,2012.5826415054094,1499.97,1512.2661218867743,1350,1500.0
0.11310696601867676,159,35.0,2012.5826415054094,1499.74,1512.2661218867743,1350,1500.0
0.13533997535705566,160,35.0,2012.5826415054094,1499.9400000000001,1512.2661218867743,1350,1500.0
0.1576519012451172,160,35.0,2012.5826415054094,1499.9400000000001,1512.2661218867743,1350,1500.0
0.17990899085998535,159,35.0,2012.5826415054094,1499.71,1512.2661218867743,1350,1500.0
0.20215392112731934,160,35.0,2012.5826415054094,1499.9100000000001,1512.2661218867743,1350,1500.0
0.2245948314666748,159,35.0,2012.5826415054094,1499.6800000000001,1512.2661218867743,1350,1500.0
0.24758291244506836,159,35.0,2012.5826415054094,1495.28,1512.2661218867743,1350,1500.0
0.2707178592681885,160,34.9765,2012.5826415054094,1495.48,1512.2661218867743,1350,1500.0
0.29369306564331055,160,34.9765,2012.5826415054094,1499.8800000000001,1512.2661218867743,1350,1500.0
0.31670093536376953,160,34.8825,2022.6455547129365,1499.8800000000001,1512.613292392434,1350,1500.0
0.33965492248535156,160,33.8825,2032.7084679204636,1502.1099999999999,1513.2623502943195,1350,1500.0
0.36275506019592285,160,31.7415,2042.7713811279907,1506.51,1514.2132955924308,1350,1500.0
0.3857588768005371,160,32.765,2033.6232782120569,1506.51,1514.8033482305086,1350,1500.0
0.4087238311767578,160,34.859,2016.1225595902706,1504.3399999999999,1514.8307925392564,1350,1500.0
0.43186402320861816,160,37.9765,1998.6218409684843,1504.3399999999999,1513.7294404968989,1350,1500.0
0.4548220634460449,160,41.0,1989.4737380525505,1502.1700000000001,1511.7874573452882,1350,1500.0
0.47777891159057617,160,41.9765,1989.4737380525505,1500.0,1509.2828658643475,1350,1500.0
0.5009129047393799,160,42.9295,1980.3256351366167,1500.0,1507.0115510077633,1350,1500.0
0.5239639282226562,160,42.8355,1980.3256351366167,1500.0,1505.8314457316078,1339.5809599999998,1500.0
0.5468790531158447,160,45.7885,1961.114619013156,1500.0,1505.340490912726,1328.9959200000001,1500.0
0.5699119567871094,160,46.765,1941.9036028896953,1500.0,1505.1239791813221,1329.2023199999999,1500.0
0.5929510593414307,160,48.765,1922.6925867662346,1500.0,1504.6330243624402,1330.9464800000001,1500.0
0.6159389019012451,160,50.7885,1914.3399710603821,1500.0,1504.2147969617401,1331.02504,1500.0
0.6389279365539551,160,53.812,1906.6834066633505,1500.0,1503.0449833013652,1322.4387199999999,1500.0
0.6620800495147705,159,55.8355,1906.6834066633505,1497.5699999999999,1502.5372635895308,1316.16716,1500.0
0.6850588321685791,159,58.8355,1890.6742265604666,1495.3399999999999,1502.3554450440765,1303.02604,1500.0
0.7080628871917725,159,60.812,1873.1735079386804,1493.1099999999999,1502.7945539840414,1292.53892,1500.0
0.7312068939208984,159,65.812,1857.1643278357963,1490.8800000000001,1502.9868132991278,1275.5933199999999,1500.0
0.7542190551757812,158,67.7885,1832.0070448169786,1486.22,1502.84258152435,1268.0234,1500.0
0.7773940563201904,158,69.765,1815.9978647140947,1486.1600000000001,1501.6829103259035,1259.25704,1500.0
0.8005900382995605,158,71.7415,1799.9886846112106,1486.0999999999999,1500.4271840468398,1254.71648,1500.0
0.8239610195159912,158,73.7415,1783.9795045083265,1486.04,1499.1648949982928,1250.0819200000001,1500.0
0.8469748497009277,157,75.7415,1776.3229401112949,1483.55,1498.4204681235087,1253.8154,1500.0
0.8700339794158936,157,77.718,1776.3229401112949,1485.6600000000001,1498.9902358377294,1256.1531600000001,1500.0
0.8932738304138184,156,79.718,1768.6663757142633,1483.1700000000001,1500.2564028864253,1258.3649599999999,1500.0
0.9162640571594238,156,83.718,1768.6663757142633,1480.8800000000001,1502.0372998779947,1253.87096,1500.0
0.9392669200897217,156,84.718,1761.0098113172317,1480,1503.9895746453858,1254.44892,1500.0
0.9627029895782471,156,86.6945,1761.0098113172317,1480.7,1505.9554224132989,1250,1500.0
0.9856829643249512,155,87.6945,1761.0098113172317,1480,1507.1665516906476,1250,1500.0
1.008599042892456,155,88.6945,1753.9657720719629,1480.3199999999999,1508.1137800747697,1250,1500.0
1.0317258834838867,155,90.6945,1753.9657720719629,1482.4300000000001,1508.6124312324091,1250.9986799999999,1500.0
1.0548899173736572,154,91.6945,1753.9657720719629,1482.1099999999999,1509.090200850784,1254.68056,1500.0
1.0778908729553223,154,92.6945,1753.9657720719629,1480,1509.3382735372477,1259.7366400000001,1500.0
1.1008429527282715,154,92.6945,1746.9217328266939,1481.9300000000001,1509.3433268697499,1266.1046799999999,1500.0
1.123872995376587,153,93.671,1739.8776935814251,1480,1509.3300044476989,1269.9747600000001,1500.0
1.1468110084533691,153,94.671,1739.8776935814251,1480,1509.348380202252,1272.53664,1500.0
1.1697709560394287,153,94.6475,1739.8776935814251,1480,1509.1370590248939,1277.8005599999999,1500.0
1.1928019523620605,152,94.624,1739.8776935814251,1480,1508.9257378475359,1283.21028,1500.0
1.215770959854126,151,94.624,1739.8776935814251,1480,1509.1370590248939,1287.2318,1500.0
1.2387268543243408,152,94.624,1746.9217328266939,1480,1509.8027207335717,1292.62752,1500.0
